1957,cb28d0b3-6333-11e6-a528-a45e60eb67c5,6.7,"{'Drama','Adventure','Western'}",G,"{'ranch','shooting','bear'}","Old Yeller"
1958,cb1dfb8a-6333-11e6-b910-a45e60eb67c5,7.7,"{'Drama','Thriller','Crime'}",PG-13,"{'hotel','border','evidence'}","Touch of Evil"
1958,cb26cf9c-6333-11e6-8cea-a45e60eb67c5,5.1,"{'Romance','Comedy','Music'}",G,"{'courtesan','champagne','jewelry'}","Gigi"
1958,cb1d25bd-6333-11e6-8072-a45e60eb67c5,7.5,"{'Drama','Mystery','Romance','Thriller','Crime'}",PG,"{'bachelor','sense-of-guilt','san-francisco'}","Vertigo"
1958,cb22f73a-6333-11e6-9863-a45e60eb67c5,6.5,"{'Drama','Thriller'}",PG,"{'hostility','bias','prison'}","The Defiant Ones"
1958,cb25fd4a-6333-11e6-8079-a45e60eb67c5,6.3,"{'Action','Fantasy','Adventure','Family'}",G,"{'island','lamp','sinbad'}","The 7th Voyage of Sinbad"
1959,cb2253ae-6333-11e6-a537-a45e60eb67c5,6.6,"{'Romance','Fantasy','Animation','Family'}",G,"{'sleep','prince','fairy-tale'}","Sleeping Beauty"
1959,cb26314a-6333-11e6-882c-a45e60eb67c5,7.0,"{'Comedy','Family'}",G,"{'sheep-dog','dog','magic-spell'}","The Shaggy Dog"
1959,cb1d6811-6333-11e6-aa13-a45e60eb67c5,6.8,"{'Drama','Action','Adventure','History'}",G,"{'roman','jerusalem','prince'}","Ben-Hur"
1959,cb233863-6333-11e6-abde-a45e60eb67c5,6.3,"{'Fantasy','Adventure','Family'}",G,"{'edinburgh','professor','expedition'}","Journey to the Center of the Earth"
1960,cb2b493a-6333-11e6-b25b-a45e60eb67c5,6.8,"{'Drama','Family'}",G,"{'girl','tween-girl','friend'}","Pollyanna"
1960,cb1d0426-6333-11e6-b715-a45e60eb67c5,7.8,"{'Drama','Romance','Comedy'}",PG,"{'lovesickness','new-york','new-year''s-eve'}","The Apartment"
1960,cb1d3ebd-6333-11e6-bf07-a45e60eb67c5,7.7,"{'Drama','Horror','Thriller'}",R,"{'shower','clerk','hotel'}","Psycho"
1960,cb2ade7a-6333-11e6-907c-a45e60eb67c5,4.9,"{'Horror'}",PG-13,"{'haunted-house'}","13 Ghosts"
1960,cb1e7e94-6333-11e6-b2b1-a45e60eb67c5,7.5,"{'Romance','Fantasy','Adventure','Thriller','Science Fiction'}",G,"{'future','london','inventor'}","The Time Machine"
1960,cb1dc405-6333-11e6-a08e-a45e60eb67c5,7.0,"{'Action','Drama','History'}",PG-13,"{'roman-empire','folter','gladiator'}","Spartacus"
1960,cb1dc38c-6333-11e6-a7c1-a45e60eb67c5,6.9,"{'Action','Adventure','Western'}",PG,"{'white-man''s-burden','henry-rifle'}","The Magnificent Seven"
1960,cb276d57-6333-11e6-ad43-a45e60eb67c5,5.4,"{'Comedy','Music'}",PG,"","G.I. Blues"
1960,cb276c99-6333-11e6-bd22-a45e60eb67c5,5.3,"{'Action','Drama','Romance','Western'}",PG,"","Flaming Star"
1960,cb27409e-6333-11e6-bfb6-a45e60eb67c5,6.7,"{'Action','Drama','Adventure','Family'}",G,"{'tree-house','ship-wreck','island'}","Swiss Family Robinson"
1961,cb23bc26-6333-11e6-8e83-a45e60eb67c5,6.4,"{'Comedy','Animation','Adventure'}",G,"{'puppy','dalmatian','dog'}","101 Dalmatians"
1961,cb270868-6333-11e6-8211-a45e60eb67c5,5.4,"{'Science Fiction','Comedy','Family'}",G,"","The Absent-Minded Professor"
1961,cb27294c-6333-11e6-b661-a45e60eb67c5,5.6,"{'Romance','Comedy','Music'}",PG,"{'hawaii'}","Blue Hawaii"
1961,cb27b254-6333-11e6-86c7-a45e60eb67c5,6.5,"{'Comedy','Family'}",G,"{'deception'}","The Parent Trap"
1961,cb1e8538-6333-11e6-b836-a45e60eb67c5,4.4,"{'Drama','Science Fiction','Adventure'}",PG,"{'submarine'}","Voyage to the Bottom of the Sea"
1961,cb2c708c-6333-11e6-b565-a45e60eb67c5,5.4,"{'Drama'}",PG-13,"{'jesus-christ','biography'}","King of Kings"
1961,cb1d924c-6333-11e6-a08e-a45e60eb67c5,6.4,"{'Drama','Mystery','History'}",PG,"{'judge','second-world-war','concentration-camp'}","Judgment at Nuremberg"
1962,cb235cfd-6333-11e6-979c-a45e60eb67c5,6.8,"{'Western'}",PG-13,"{'gunslinger','legend','to-shoot-dead'}","The Man Who Shot Liberty Valance"
1962,cb1dd540-6333-11e6-9fe1-a45e60eb67c5,6.0,"{'Drama'}",PG-13,"{'historical-figure','education','biography'}","The Miracle Worker"
1962,cb2e970c-6333-11e6-bae3-a45e60eb67c5,3.8,"{'Drama','Western'}",PG,"{'friendship-between-men','loyalty','modern-society'}","Lonely Are the Brave"
1962,cb1d8751-6333-11e6-8a6a-a45e60eb67c5,6.9,"{'Drama','Romance'}",R,"{'hotel','loss-of-mother','depression'}","Lolita"
1962,cb1dafca-6333-11e6-95fb-a45e60eb67c5,5.9,"{'Drama'}",PG-13,"{'rebel','usa','prison'}","Birdman of Alcatraz"
1962,cb27f323-6333-11e6-b284-a45e60eb67c5,4.7,"{'Drama','Action','History'}",PG,"{'soldier','s.a.t.','greece'}","The 300 Spartans"
1962,cb1dc76b-6333-11e6-b7dd-a45e60eb67c5,6.6,"{'Mystery','Thriller'}",PG-13,"{'brain-washing','u.s.-president','cold-war'}","The Manchurian Candidate"
1962,cb238466-6333-11e6-ad9d-a45e60eb67c5,5.9,"{'Action','Drama','Western','Adventure'}",G,"{'caravan','settler','river'}","How the West Was Won"
1962,cb1dbd91-6333-11e6-83bd-a45e60eb67c5,7.2,"{'Drama','War','Adventure','History'}",PG,"{'jerusalem','cairo','arabian'}","Lawrence of Arabia"
1963,cb1d4742-6333-11e6-89b1-a45e60eb67c5,6.9,"{'Horror'}",PG-13,"{'pet-shop','seclusion','playground'}","The Birds"
1963,cb299807-6333-11e6-a911-a45e60eb67c5,4.2,"{'Drama','Comedy','Music'}",G,"{'small-town','ohio','musical'}","Bye Bye Birdie"
1963,cb2a68e6-6333-11e6-93b1-a45e60eb67c5,5.9,"{'Action','Drama','History'}",R,"{'siege','beijing','epic'}","55 Days at Peking"
1963,cb1fe3cf-6333-11e6-a5e0-a45e60eb67c5,6.7,"{'Drama','Romance','History'}",G,"{'historical-figure','ancient-rome','julius-cesar'}","Cleopatra"
1963,cb2b791e-6333-11e6-8bc7-a45e60eb67c5,4.6,"{'Horror','Thriller'}",PG,"{'castle','gothic','baron'}","The Terror"
1963,cb2362d9-6333-11e6-8ed6-a45e60eb67c5,6.5,"{'Mystery','Horror','Thriller'}",G,"{'supernatural-powers','alcohol','haunted-house'}","The Haunting"
1963,cb1d6587-6333-11e6-8e44-a45e60eb67c5,6.6,"{'Action','Adventure','Thriller'}",PG,"{'terror','venice','london'}","From Russia With Love"
1963,cb233ad9-6333-11e6-8946-a45e60eb67c5,6.4,"{'Action','Comedy','Adventure','Crime'}",G,"{'california','competition','prison'}","It's a Mad, Mad, Mad, Mad World"
1963,cb2d00cf-6333-11e6-9d41-a45e60eb67c5,4.9,"{'Adventure','Family'}",G,"{'dog','bear','cat'}","The Incredible Journey"
1963,cb1dba5e-6333-11e6-a4b8-a45e60eb67c5,6.9,"{'Comedy','Crime'}",PG,"{'bumbling','clouseau','pink-panther'}","The Pink Panther"
1963,cb205ed1-6333-11e6-8488-a45e60eb67c5,6.5,"{'Animation','Family'}",G,"{'könig-arthur','merlin','ritter'}","The Sword in the Stone"
1964,cb1db9e8-6333-11e6-bc36-a45e60eb67c5,7.7,"{'Drama','Comedy','War'}",PG,"{'bomber-pilot','war-room','cold-war'}","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
